Acquisition Date,Company,Business,Country,Price,Used as or integrated with,Group,ParentCompany,Industry,Tech
11-Feb-05,Verdisoft,Wireless data sharing,United States,58000000,Yahoo! Mobile,OS,Yahoo,Communications Services,1
20-Mar-05,Ludicorp,Image hosting service,Canada,40000000,Flickr,Search,Yahoo,Technology,1
17-Aug-05,Android,Mobile operating system, United States,50000000,Android,OS,Alphabet,Technology,1
23-Aug-05,facebook.com domain name,AboutFace,United States,200000,name change from Thefacebook.com,Business,Facebook,Technology,1
12-Dec-05,del.icio.us,Social bookmarking,United States,20000000,del.icio.us,Search,Yahoo,Communications Services,1
17-Jan-06,dMarc Broadcasting,Advertising, United States,102000000,AdSense,Business,Alphabet,Communications Services,1
09-Oct-06,YouTube,Video sharing, United States,1650000000,YouTube,Media,Alphabet,Communications Services,1
17-Nov-06,Kenet Works,Mobile software,Sweden,25000000,Yahoo! Mobile,OS,Yahoo,Technology,1
18-Dec-06,Endoxon,Mapping,  Switzerland,28000000,Google Maps,Search,Alphabet,Technology,1
16-Feb-07,Adscape,In-game advertising, United States,23000000,AdSense,Business,Alphabet,Communications Services,1
13-Apr-07,DoubleClick,Online advertising, United States,3100000000,AdSense,Business,Alphabet,Communications Services,1
19-Apr-07,Marratech,Videoconferencing, Sweden,15000000,"Google Talk, Google Hangouts",Connectivity,Alphabet,Communications Services,1
29-Apr-07,Right Media,Online advertising,United States,850000000,Yahoo! Search Marketing,Business,Yahoo,Communications Services,1
03-Jun-07,FeedBurner,Web feed, United States,100000000,FeedBurner,Search,Alphabet,Communications Services,1
02-Jul-07,GrandCentral,Voice over IP, United States,45000000,Google Voice,Connectivity,Alphabet,Technology,1
09-Jul-07,Postini,Communications security, United States,625000000,Gmail,Connectivity,Alphabet,Communications Services,1
04-Sep-07,BlueLithium,Advertising network,United States,300000000,Yahoo! Search Marketing,Business,Yahoo,Communications Services,1
17-Sep-07,Zimbra,Collaborative software,United States,350000000,Zimbra,Productivity,Yahoo,Communications Services,1
12-Feb-08,Maven Networks,Video on demand,United States,160000000,Yahoo! Video,Media,Yahoo,Communications Services,1
24-Apr-08,P.A. Semi,Semiconductors,United States,278000000,Apple SOC,Devices,Apple,Industrials,0
23-Jun-08,ConnectU,Social networking,United States,31000000,(Court settlement),Connectivity,Facebook,Communications Services,1
30-Jul-08,Omnisio,Online video, United States,15000000,YouTube,Media,Alphabet,Communications Services,1
22-Jul-09,Xoopit,Webmail applications,United States,20000000,Yahoo! Mail,Connectivity,Yahoo,Technology,1
05-Aug-09,On2,Video compression, United States,133000000,"WebM, YouTube",Media,Alphabet,Technology,1
25-Aug-09,Maktoob.com,Social media,Jordan,167000000,Maktoob.com,Connectivity,Yahoo,Communications Services,1
09-Nov-09,Gizmo5,Voice over IP, United States,30000000,"Google Talk, Google Hangouts",Connectivity,Alphabet,Technology,1
06-Dec-09,Lala.com,Music streaming,United States,17000000,"iCloud, iTunes Match",Media,Apple,Communications Services,1
05-Jan-10,Quattro Wireless,Mobile advertising,United States,275000000,iAd,Business,Apple,Communications Services,1
12-Feb-10,Aardvark,Social search, United States,50000000,Aardvark,Connectivity,Alphabet,Communications Services,1
05-Mar-10,DocVerse,Microsoft Office files sharing site, United States,25000000,Google Docs,Productivity,Alphabet,Communications Services,1
27-Apr-10,Intrinsity,Semiconductors,United States,121000000,Apple SOC,Devices,Apple,Industrials,0
30-Apr-10,BumpTop,Desktop environment, Canada,30000000,Android,OS,Alphabet,Technology,1
10-May-10,Gipsy Moth Studios,Application localization,United States,12000000,"iPod, iPhone, iPad",OS,Apple,Technology,1
18-May-10,Global IP Solutions,Video and audio compression, United States,68200000,WebRTC,OS,Alphabet,Technology,1
03-Jun-10,Invite Media,Advertising, United States,81000000,DoubleClick,Business,Alphabet,Communications Services,1
05-Aug-10,Slide.com,Social gaming, United States,228000000,"Google+, Orkut, Google Play",Media,Alphabet,Communications Services,1
10-Aug-10,Jambool,Social Gold payment, United States,70000000,"Google+, Orkut",Connectivity,Alphabet,Communications Services,1
15-Aug-10,Like.com,Visual search engine, United States,100000000,Google Shopping,Connectivity,Alphabet,Technology,1
13-Sep-10,Quiksee,Online video, Israel,10000000,Google Maps,Search,Alphabet,Communications Services,1
20-Sep-10,Polar Rose,Facial recognition,Sweden,29000000,iOS,OS,Apple,Technology,1
04-Oct-10,Dapper,SmartAds,Israel,55000000,Dapper,Business,Yahoo,Communications Services,1
20-Jan-11,Spreets,Daily deals,Australia,40000000,Spreets,Search,Yahoo,Technology,1
07-Mar-11,BeatThatQuote.com,Price comparison service, United Kingdom,65000000,Google Shopping,Connectivity,Alphabet,Technology,1
20-Mar-11,Snaptu,Mobile app developer,Israel,70000000,Mobile,OS,Facebook,Technology,1
08-Apr-11,PushLife,Service provider, Canada,25000000,Google Play,Media,Alphabet,Communications Services,1
25-Apr-11,IntoNow,Recognize TV content,United States,20000000,IntoNow,Media,Yahoo,Technology,1
09-Jun-11,Admeld,Online advertising, United States,400000000,"DoubleClick, Invite Media",Business,Alphabet,Communications Services,1
01-Aug-11,C3 Technologies,3D mapping,Sweden,267000000,Maps,Search,Apple,Technology,1
15-Aug-11,Motorola Mobility,Mobile device manufacturer, United States,12500000000,"Android, Google TV, Android TV, Patent portfolio",Media,Alphabet,Industrials,0
08-Sep-11,Zagat,Restaurant reviews, United States,151000000,"Google Places, Google Maps",Search,Alphabet,Technology,1
19-Sep-11,DailyDeal,One deal a day service, Germany,114000000,Google Offers,Search,Alphabet,Technology,1
01-Nov-11,Interclick,Data driven advertising,United States,270000000,Yahoo! Ad Network,Business,Yahoo,Communications Services,1
20-Dec-11,Anobit,Flash memory,Israel,390000000,"iPod, iPhone, iPad",OS,Apple,Technology,1
23-Feb-12,Chomp,App search engine,United States,50000000,App Store,Search,Apple,Technology,1
04-Jun-12,Meebo,Social networking, United States,100000000,Google+,Connectivity,Alphabet,Communications Services,1
20-Jul-12,Sparrow,Mobile apps, France,25000000,Gmail,Connectivity,Alphabet,Technology,1
27-Jul-12,AuthenTec,PC and mobile security products,United States,356000000,Touch ID,Devices,Apple,Communications Services,1
01-Aug-12,Wildfire Interactive,Social media marketing, United States,450000000,"Google, Google+",Connectivity,Alphabet,Communications Services,1
01-Oct-12,Viewdle,Facial recognition, Ukraine,45000000,Android,OS,Alphabet,Technology,1
30-Nov-12,BufferBox,Package delivery, Canada,17000000,"Google Shopping, Android",OS,Alphabet,Industrials,0
22-Jan-13,Snip.it,Social network,United States,10000000,Snip.it,Connectivity,Yahoo,Communications Services,1
06-Feb-13,Channel Intelligence,Product ecommerce, United States,125000000,Google Shopping,Connectivity,Alphabet,Technology,1
23-Mar-13,WiFiSlam,Indoor location,United States,20000000,Apple Maps,Search,Apple,Communications Services,1
25-Mar-13,Summly,"News aggregation, summarization",United Kingdom,30000000,Yahoo App,Search,Yahoo,Communications Services,1
23-Apr-13,Wavii,Natural Language Processing, United States,30000000,Google Knowledge Graph,Search,Alphabet,Technology,1
11-Jun-13,Waze,GPS navigation software, Israel,966000000,"Google Maps , Waze",Search,Alphabet,Technology,1
02-Oct-13,Flutter,Gesture recognition technology, United States,40000000,"Google, Android, X",Innovation,Alphabet,Technology,1
03-Oct-13,Cue,Personal assistant,United States,50000000,Siri,OS,Apple,Technology,1
22-Oct-13,FlexyCore,DroidBooster App for Android, France,23000000,Android,OS,Alphabet,Communications Services,1
24-Nov-13,PrimeSense,Structured-light 3D scanners,Israel,345000000,"Face ID, TrueDepth[68][69]",Devices,Apple,Consumer Cyclical,0
02-Dec-13,Topsy,Analytics,United States,200000000,"App Store, Apple Music, iTunes Store[71]",Business,Apple,Technology,1
13-Jan-14,Nest Labs,Home automation, United States,3200000000,Nest Labs,Devices,Alphabet,Consumer Defensive,0
26-Jan-14,DeepMind Technologies,Artificial intelligence, United Kingdom,625000000,Google DeepMind,Research,Alphabet,Technology,1
10-Jun-14,Skybox Imaging,Satellite, United States,500000000,"Google Maps, Project Loon",Innovation,Alphabet,Communications Services,1
20-Jun-14,Dropcam,Home monitoring, United States,555000000,Nest Labs,Devices,Alphabet,Consumer Defensive,0
29-Jun-14,Swell,Music streaming,United States,30000000,Apple Music,Media,Apple,Communications Services,1
01-Aug-14,Beats Electronics,"Headphones, music streaming (Beats Music)",United States,3000000000,"iPhone, iTunes, Apple Music",Media,Apple,Communications Services,1
23-Oct-14,Dark Blue Labs & Vision Factory,Artificial intelligence, United Kingdom,10000000,Google DeepMind,Research,Alphabet,Technology,1
21-Jan-15,Semetric,Music analytics,United Kingdom,50000000,"Apple Music, iTunes Store",Media,Apple,Communications Services,1
11-Nov-15,bebop,Cloud software, United States,380000000,Google Cloud Platform,Productivity,Alphabet,Technology,1
